target,averageFixationDuration,averageRegressionDuration,totalRegressionDurationPerLine,averageSaccadeDuration,averageSaccadeVelocity
1,333.0205761316872,519.2727273,248.3478261,336.1626016260163,418.7004601352485
1,394.74666666666667,449.2954545,859.5217391,411.3786666666667,423.1903329794728
1,680.5748299319728,347.6666667,498.826087,722.2935153583618,341.5395533208078
1,477.29597701149424,548.2571429,834.3043478,506.14204545454544,407.638288654579

0,249.33900709219859,250.7962962962963,322.45238095238096,247.76997245179064,540.1103899473623
0,365.5191040843215,385.25,990.6428571428571,378.23865110246436,430.23466893852225
0,611.8937007874016,433.55555555555554,557.4285714285714,657.2137254901961,383.5965614903338
0,323.77338129496405,388.765625,592.4047619047619,350.0782918149466,456.18821287236426
